"Session_Number","Reps","Sets","Number_TRM","TRM"
1.00,6.00,3.00,10.00,"10TRM"
2.00,3.00,5.00,5.00,"5TRM"
3.00,5.00,4.00,8.00,"8TRM"
4.00,4.00,5.00,6.00,"6TRM"
5.00,6.00,3.00,10.00,"10TRM"
6.00,3.00,5.00,5.00,"5TRM"
7.00,5.00,4.00,8.00,"8TRM"
8.00,3.00,5.00,5.00,"5TRM"
9.00,6.00,3.00,10.00,"10TRM"
10.00,3.00,5.00,5.00,"5TRM"
11.00,5.00,4.00,8.00,"8TRM"
12.00,4.00,5.00,6.00,"6TRM"
13.00,6.00,3.00,10.00,"10TRM"
14.00,3.00,5.00,5.00,"5TRM"
15.00,5.00,4.00,8.00,"8TRM"
16.00,4.00,5.00,6.00,"6TRM"
17.00,6.00,3.00,10.00,"10TRM"
18.00,3.00,5.00,5.00,"5TRM"
1.10,6.00,3.00,10.00,"10TRM"
