1,"Deadlift","Hip Hinge","5",285.00,275.00,270.00,260.00,255.00,245.00,240.00,230.00,225.00,220.00,210.00
2,"Barbell Back Squat","Squat","5",205.00,200.00,195.00,190.00,180.00,175.00,170.00,170.00,160.00,155.00,155.00
3,"One-arm Kettlebell Military Press","Vertical Press","5",70.00,65.00,65.00,65.00,60.00,60.00,60.00,60.00,55.00,55.00,50.00
4,"Bench Press","Horizontal Press","5",200.00,190.00,185.00,180.00,175.00,170.00,170.00,160.00,155.00,150.00,145.00
5,"Lat Pull-downs","Vertical Pull","5",120.00,115.00,115.00,115.00,110.00,105.00,105.00,100.00,95.00,90.00,90.00
6,"Barbell Dead Row","Horizontal Pull","5",145.00,145.00,140.00,135.00,130.00,125.00,125.00,120.00,115.00,115.00,110.00
7,"Romanian Deadlift","Hip Hinge","5",245.00,235.00,230.00,220.00,215.00,210.00,205.00,200.00,190.00,185.00,180.00
8,"One-Arm Kettlebell Swing","Hip Hinge","5",65.00,65.00,60.00,60.00,60.00,60.00,60.00,55.00,55.00,55.00,50.00
9,"Step Ups","Squat","5",35.00,35.00,35.00,35.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
10,"Barbell Front Squat","Squat","5",155.00,150.00,145.00,145.00,140.00,135.00,130.00,125.00,120.00,115.00,115.00
11,"Overhead Dumbbell Press","Vertical Press","5",65.00,65.00,60.00,60.00,60.00,60.00,60.00,55.00,55.00,55.00,50.00
12,"Barbell Military Press","Vertical Press","5",125.00,120.00,115.00,115.00,115.00,110.00,110.00,105.00,100.00,95.00,95.00
13,"Incline Dumbbell Press","Horizontal Press","5",85.00,85.00,80.00,80.00,75.00,75.00,70.00,70.00,65.00,65.00,60.00
14,"Parallel Bars Dip","Horizontal Press","5",225.00,215.00,210.00,200.00,200.00,195.00,190.00,180.00,175.00,170.00,165.00
15,"Close Grip Pull-downs","Vertical Pull","5",145.00,145.00,140.00,135.00,130.00,125.00,125.00,120.00,115.00,115.00,110.00
16,"One-Arm Pulldowns","Vertical Pull","5",70.00,70.00,65.00,65.00,60.00,60.00,60.00,60.00,60.00,55.00,55.00
17,"Renegade Row","Horizontal Pull","5",40.00,40.00,40.00,40.00,35.00,35.00,35.00,35.00,30.00,30.00,30.00
18,"One Arm Row","Horizontal Pull","5",75.00,75.00,70.00,70.00,65.00,65.00,65.00,60.00,60.00,60.00,60.00
19,"Wide-grip Deadlifts On Platform","Hip Hinge","5",215.00,205.00,200.00,195.00,185.00,180.00,175.00,170.00,165.00,160.00,155.00
20,"Good Mornings","Hip Hinge","5",115.00,115.00,115.00,110.00,105.00,100.00,100.00,95.00,90.00,90.00,85.00
21,"Landmine Shoulder Press","Vertical Press","5",80.00,80.00,75.00,75.00,70.00,70.00,65.00,65.00,60.00,60.00,60.00
22,"Close Grip Bench","Horizontal Press","5",180.00,170.00,170.00,165.00,160.00,155.00,150.00,145.00,145.00,140.00,135.00
23,"Bulgarian Split Squat","Squat","5",30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
24,"Incline Bench Press","Horizontal Press","5",170.00,165.00,165.00,155.00,150.00,145.00,145.00,140.00,135.00,130.00,130.00
